valid;pid;ppn;costs;isbdcount;matchcount;matchrate;avgcosts;goodorder4
1;611;146983475;1.63213813;22;17;0.7727272727272727;2.8023833000841205;0.4998960527220441
0;611;150598963;;17;12;0.7058823529411765;2.963098425507622;0.34440589350703477
1;615;142091162;1.44069493;49;28;0.5714285714285714;2.646322370659242;0.5462506349880186
0;615;249511606;;27;19;0.7037037037037037;2.807330333184236;0.4888524638400079
1;616;146983432;0.791988492;40;10;0.25;2.3647098723270954;0.4725996150821848
0;616;165567775;;16;6;0.375;2.5967692156390236;0.21837235716153955
1;618;143940295;0.51987642;30;21;0.7;2.6083034338937816;0.5526457687916205
0;618;320220850;;40;23;0.575;2.97399646858499;0.5786651778068082
1;620;141610220;1.80838215;30;14;0.4666666666666667;2.610139809983012;0.558305155047824
0;620;223341878;;19;8;0.42105263157894735;3.2583832590699044;0.4111144342862086
1;622;141827610;1.84346044;34;38;1.1176470588235294;2.482477747292489;0.6284896971322282
0;622;219483701;;43;48;1.1162790697674418;2.8031157853271016;0.5624688718596936
1;623;146983513;1.70137477;39;35;0.8974358974358975;2.2707902283620687;0.6288523337714569
0;623;386845948;;42;29;0.6904761904761905;2.6182697840469857;0.637842320719209
1;646;137950276;1.71618998;29;31;1.0689655172413792;2.636413106679881;0.5776869330282288
0;646;159098599;;29;18;0.6206896551724138;2.9605652233095854;0.432169141246143
1;683;134894731;1.825984;19;17;0.8947368421052632;2.613498101590537;0.562007720809156
0;683;150186509;;32;15;0.46875;2.700875578343182;0.5130634651165945
1;700;146968883;0.784212768;67;82;1.2238805970149254;2.223092197109751;0.7350608027958448
0;700;150308078;;94;80;0.851063829787234;2.7841112354293744;0.5824719806420701
1;701;128912103;1.73947942;20;17;0.85;2.852063384688063;0.47874379811208906
0;701;246536489;;24;16;0.6666666666666666;3.1132252816578614;0.4418358333559663
1;725;194773426;1.63412011;30;10;0.3333333333333333;1.7617911002741287;0.628716103811443
0;725;24557784X;;36;11;0.3055555555555556;2.9659417929856704;0.5117942996913337
1;726;134521633;1.392766;21;28;1.3333333333333333;2.149233575099761;0.6927373167536354
0;726;147780950;;19;5;0.2631578947368421;3.0322973289548707;0.5542536996919785
1;728;19477743X;1.70475137;14;22;1.5714285714285714;1.9351200891550875;0.8691189662772167
0;728;226328503;;35;12;0.34285714285714286;2.7852983704702177;0.3832559231156462
1;795;136188168;0.223817959;107;110;1.02803738317757;2.4430383366261155;0.6704085748595471
0;795;212703889;;50;48;0.96;2.47320203514291;0.5738077065337505
1;803;193488868;0.650940537;20;25;1.25;1.6746511933195196;0.905793672090795
0;803;331656388;;23;11;0.4782608695652174;3.0116629688398033;0.5204544299978202
1;820;193499320;0.670889974;97;92;0.9484536082474226;2.8525437023494677;0.5740128959662175
0;820;190498390;;12;11;0.9166666666666666;2.9066339075097565;0.5119547480917673
1;834;193505398;1.19756186;23;30;1.3043478260869565;1.8072981548463514;0.7069410483517304
0;834;150374623;;48;20;0.4166666666666667;2.7585064449498438;0.3997058912603055
1;843;193506602;1.22395003;15;12;0.8;1.3591439320678376;0.7348895909507779
0;843;142391530;;19;5;0.2631578947368421;3.091624363617604;0.376035946529619
1;844;193510448;1.74909484;29;27;0.9310344827586207;1.9272004575520074;0.6037054370295163
0;844;246739983;;25;16;0.64;2.900166982398015;0.6260244306109437
1;845;193512181;1.04830885;33;22;0.6666666666666666;2.019446164702238;0.5788348982817959
0;845;237321599;;8;7;0.875;3.0432535286095237;0.6801161233128484
1;846;193515105;1.79048097;27;20;0.7407407407407407;1.3833453907584856;0.786874189970249
0;846;135780802;;32;25;0.78125;3.0050526548774115;0.47965445450978883
1;847;193517094;1.29649878;29;32;1.103448275862069;2.060430802683505;0.6981439152853409
0;847;253155401;;45;17;0.37777777777777777;2.659094507034549;0.48351771851216846
1;850;193548631;0.453839302;42;54;1.2857142857142858;2.340321674794962;0.6420999247841945
0;850;151549885;;42;37;0.8809523809523809;2.6990067615318085;0.6275954462528965
1;897;181963558;1.30277383;71;83;1.1690140845070423;2.466287989967726;0.6729070842715201
0;897;137921586;;27;18;0.6666666666666666;3.10878079116417;0.5537199303344723
1;899;14698398X;1.13647938;42;60;1.4285714285714286;2.457685747352974;0.6242801686539042
0;899;249529580;;31;35;1.1290322580645162;3.132822488836365;0.4544209997830033
1;900;151720460;1.18832099;25;38;1.52;1.5048819547137142;0.9008681256130223
0;900;237387638;;28;22;0.7857142857142857;2.185870546466276;0.6340928925834025
1;901;151720460;1.35646927;25;33;1.32;1.8543084177963;0.7848890785891608
0;901;141240563;;45;20;0.4444444444444444;2.932127056417251;0.5068934111032087
1;902;151720460;0.962662339;25;35;1.4;1.6407866286258235;0.8438924600056272
0;902;150699824;;23;10;0.43478260869565216;3.2021506534872253;0.4983853088740007
1;903;146983955;1.04077804;31;38;1.2258064516129032;2.225592763433763;0.6445188462248708
0;903;243086024;;47;20;0.425531914893617;3.1574905952140777;0.5009621641621875
1;911;146983653;0.81450969;51;53;1.0392156862745099;2.087577187596722;0.7612666478588719
0;911;140846379;;60;37;0.6166666666666667;2.7922311577854093;0.586834887072654
1;912;193580438;1.44883037;35;53;1.5142857142857142;1.6873931768778592;0.8746358784563302
0;912;150827040;;21;18;0.8571428571428571;2.11927425385395;0.5289007078047531
1;974;193584484;1.9737196;73;61;0.8356164383561644;2.8668676062613407;0.4957748321839299
0;974;232624453;;45;25;0.5555555555555556;3.1062716795831036;0.460043119282334
1;990;147110157;1.40022302;65;48;0.7384615384615385;2.6369009828714307;0.5587976182777873
0;990;254605737;;53;47;0.8867924528301887;2.8399365354841963;0.5124035219370726
1;995;193600064;1.40893471;25;31;1.24;2.4027422226068427;0.53531790174583
0;995;156524457;;68;52;0.7647058823529411;3.0241393362828273;0.5332036782819759
1;1005;19369848X;1.2526561;9;12;1.3333333333333333;2.676737866243402;0.6014589639124887
0;1005;235518948;;18;2;0.1111111111111111;3.1154226939403498;0.3526549868655338
1;1009;146970136;1.13993859;78;87;1.1153846153846154;2.0000787658585373;0.722682752578341
0;1009;150872860;;66;45;0.6818181818181818;2.4625437467817073;0.6323057889916952
1;1017;193702185;1.33668149;32;44;1.375;2.400247201110878;0.5847244120441966
0;1017;133589072;;30;39;1.3;3.019053853124392;0.552722456490765
1;1020;150826931;1.35620379;37;33;0.8918918918918919;2.4089797430854594;0.625002439382653
0;1020;147447461;;42;41;0.9761904761904762;2.7942700183456393;0.5705132992537496
1;1039;19373737X;1.70965326;52;55;1.0576923076923077;2.542885344248208;0.6097681925781738
0;1039;145905233;;40;29;0.725;2.6563249915815224;0.6342677636092023
1;1076;19373883X;1.90030384;23;27;1.173913043478261;1.8010625148297075;0.6091194662383536
0;1076;230033288;;12;8;0.6666666666666666;2.7978439402733004;0.44539661068241604
1;1078;193743817;0.47227037;38;37;0.9736842105263158;2.3728058303358206;0.5457418910860641
0;1078;137422806;;36;12;0.3333333333333333;2.883227935590321;0.36852713155693384
1;1081;130765430;1.58991098;73;63;0.863013698630137;2.8085974534509;0.670123396248593
0;1081;150908989;;71;37;0.5211267605633803;2.9527170779353153;0.4068110580502935
1;1085;130207152;0.80691278;41;21;0.5121951219512195;1.9114588838132023;0.5365661345387617
0;1085;141433523;;40;9;0.225;2.979419377041415;0.43367696828092617
1;1142;130002798;1.31544113;28;28;1.0;3.030797335324846;0.5083055322466299
0;1142;180563068;;35;48;1.3714285714285714;2.951937015336528;0.5530365457965827
1;1176;151125481;0.694748878;45;51;1.1333333333333333;2.489902335043268;0.6284763414923947
0;1176;238082180;;39;34;0.8717948717948718;2.7734398821556105;0.5016882132966924
1;1222;151349606;0.96154815;18;15;0.8333333333333334;2.5453117421441864;0.5087993789478978
0;1222;250744856;;34;27;0.7941176470588235;2.651551218549747;0.5964068313661363
1;1244;146992784;1.32012713;31;42;1.3548387096774193;2.2240632706390056;0.7639041641948504
0;1244;145916936;;23;25;1.0869565217391304;2.70021987221779;0.48613444838508524
1;1293;146979370;1.42777908;21;30;1.4285714285714286;1.118827914725477;0.9264168878640964
0;1293;215833805;;50;17;0.34;2.884140024388418;0.5619298324178096
1;1296;169396568;1.42903876;48;31;0.6458333333333334;2.037468862725036;0.7631311612108221
0;1296;181978458;;42;21;0.5;2.9358974399786484;0.5032529845726446
1;1441;142133086;1.30962563;22;25;1.1363636363636365;2.72235650042855;0.5205371860399749
0;1441;147589037;;36;29;0.8055555555555556;2.81832602999764;0.4912225019509866
1;1499;194099334;0.96328491;54;41;0.7592592592592593;2.5678416735771425;0.613288105829484
0;1499;313519935;;14;12;0.8571428571428571;2.7631414992763563;0.6208380028344536
1;1505;134993632;0.570361197;31;30;0.967741935483871;1.6944747446050306;0.6855596131278492
0;1505;30285083X;;61;40;0.6557377049180327;2.5486352797835266;0.4695957914418235
1;1506;150292988;1.059389;13;9;0.6923076923076923;1.8713525402439437;0.5425002495287612
0;1506;241780012;;34;25;0.7352941176470589;2.652039643583638;0.5323729207781852
1;1517;148599362;0.994786859;36;15;0.4166666666666667;2.3271659010658134;0.607988058691935
0;1517;151379645;;24;3;0.125;2.7899742725782937;0.03291830054291156
1;1519;194102556;0.98231703;20;20;1.0;1.8197142128140733;0.6305033482474893
0;1519;141351381;;41;26;0.6341463414634146;2.467742177738845;0.5780962381283651
1;1521;137484550;1.94285679;70;67;0.9571428571428572;2.060888967489333;0.8150091257322858
0;1521;218622341;;36;19;0.5277777777777778;2.8230118891035296;0.3621589601415934
1;1522;146995740;1.0063678;19;27;1.4210526315789473;1.8845792152904222;0.7583662957205418
0;1522;231895887;;157;78;0.4968152866242038;2.8000016315713046;0.5637555945197152
1;1524;13744737X;1.30499923;15;11;0.7333333333333333;2.713644847455595;0.4652000739246149
0;1524;229795110;;37;26;0.7027027027027027;3.0838429434559353;0.5200285564633651
1;1525;137411383;1.11177623;62;61;0.9838709677419355;1.9333046739980737;0.6876081790048832
0;1525;331419483;;21;19;0.9047619047619048;2.426619221030175;0.5577218129094149
1;1541;185518451;1.18997788;38;59;1.5526315789473684;2.35101304973315;0.7517810735175965
0;1541;143607758;;100;116;1.16;2.6541519796004622;0.5619394603884791
1;1543;181790858;0.940582454;19;19;1.0;1.107216926710468;0.7581992798202679
0;1543;251137392;;47;18;0.3829787234042553;2.8927163825827678;0.46882390929071693
1;1544;140395067;1.55173886;46;42;0.9130434782608695;1.6197468299380158;0.7961189624604988
0;1544;303729910;;11;1;0.09090909090909091;2.200313999697884;NaN
